data_id,iso,event_id_cnty,event_id_no_cnty,event_date,year,time_precision,event_type,sub_event_type,actor1,assoc_actor_1,inter1,actor2,assoc_actor_2,inter2,interaction,region,country,admin1,admin2,admin3,location,latitude,longitude,geo_precision,source,source_scale,notes,fatalities,timestamp,iso3
5119598,384,CDI1845,1845,"06 April 2019",2019,1,Riots,"Mob violence","Rioters (Ivory Coast)","Students (Ivory Coast); Dioula Ethnic Group (Ivory Coast)",5,"Rioters (Ivory Coast)","Students (Ivory Coast); Dida Ethnic Group (Ivory Coast)",5,55,"Western Africa","Ivory Coast",Loh-Djiboua,Lakota,Zikisso,Zikisso,6.064,-5.7025,1,"Koaci News",National,"On April 6, in Zikisso village, Dioula students and Dida students threw stones at each other following a dispute between several Dioula young men with a Dida girl. Police intervened and attempted to disperse the rioters. Several people were injured, among them two policemen. Several shops were also reportedly destroyed and looted. [size=no report]",0,1554749632,CIV
5119601,404,KEN6864,6864,"06 April 2019",2019,1,Riots,"Mob violence","Rioters (Kenya)",,5,"Police Forces of Kenya (2013-)",,1,15,"Eastern Africa",Kenya,Bomet,"Bomet East",Nyangores,Bomet,-0.7833,35.35,1,"Star (Kenya)",National,"06 April: People on their way to a funeral clashed with police officers who stopped them for traffic control. They pelted the officers with stones and damaged vehicles. The police officers fired shots in the air to disperse the crowds. [size=no report]",0,1554749632,KEN
5119602,404,KEN6865,6865,"06 April 2019",2019,1,Riots,"Mob violence","Rioters (Kenya)","Vigilante Group (Kenya)",5,"Police Forces of Kenya (2013-)",,1,15,"Eastern Africa",Kenya,Busia,Butula,"Marachi East",Butula,0.3392,34.3342,1,"Star (Kenya)",National,"06 April: Butula town community burned down Malambisia police camp following the death of a man in the prison cell. [size=no report]",0,1554749632,KEN
5121248,48,BHR1455,1455,"06 April 2019",2019,1,Riots,"Mob violence","Rioters (Bahrain)","February 14 Youth Coalition",5,"Police Forces of Bahrain (1999-)",,1,15,"Middle East",Bahrain,Capital,,,"Al Akr",26.1431,50.6103,1,"14 February Revolution Youth Coalition",Other,"On 6/4/2019, anti-regime rioters who are part of the February 14 Youth Coalition agitation, threw Molotov cocktails at security forces in Akr. [size=no report]",0,1554760628,BHR
5121287,275,PSE5230,5230,"06 April 2019",2019,1,Riots,"Mob violence","Military Forces of Israel (2009-)",,8,"Rioters (Palestine)",,5,58,"Middle East",Palestine,"West Bank",Jenin,,Jenin,32.4594,35.3009,1,"Palestine News and Information Agency",National,"On April 6 2019, clashes erupted between Israeli forces and Palestinian youths in Muthalath al-Shuhada in the northern West Bank city of Jenin. Palestinians threw stones at Israeli soldiers raiding the village. Soldiers responded by firing rubber bullets and teargas canisters at Palestinians. A 17 year-old Palestinian was critically injured by a rubber bullet in his head, and several others suffered from tear-gas inhalation. [size=no report]",0,1554760628,PSE
5123557,356,IND49221,49221,"06 April 2019",2019,1,Riots,"Mob violence","Rioters (India)","INC: Indian National Congress",5,"Civilians (India)","Journalists (India)",7,57,"Southern Asia",India,"Tamil Nadu",Virudhunagar,Virudhunagar,Virudhunagar,9.585,77.9578,2,"The Hindu",National,"On 6 Apr, in Virudhunagar district (TN), Congress cadres assaulted a photo journalist when the latter was taking pictures of empty chairs during a Congress meeting. Other journalists came to rescue the victim. [size=no report]",0,1554814195,IND
5123558,356,IND49222,49222,"06 April 2019",2019,1,Riots,"Mob violence","Rioters (India)",,5,"Rioters (India)",,5,55,"Southern Asia",India,"Uttar Pradesh",Muzaffarnagar,Jansath,Tandera,29.3791,77.9484,1,"Asian News International",Regional,"On 6 April, clashes broke out in Tandera village (Muzaffarnagar, Uttar Pradesh) while food was being served at an election meeting. Groups of people slapped and hit each other with sticks, but no injuries were reported. [size=no report]",0,1554814195,IND
5123559,356,IND49223,49223,"06 April 2019",2019,1,Riots,"Mob violence","Rioters (India)","BJD: Biju Janata Dal",5,"Rioters (India)","BJD: Biju Janata Dal",5,55,"Southern Asia",India,Odisha,Jagatsinghapur,Jagatsinghapur,Jagatsinghapur,20.2557,86.1711,1,"Orissa TV",Subnational,"On 6 April, volunteers of Jagatsinghpur BJD leader Amarendra Das scuffled with BJD candidate Prasant Muduli in Jagatsinghpur town (Odisha), while the latter was conducting a roadshow. [size=no report]",0,1554814195,IND
5123563,356,IND49227,49227,"06 April 2019",2019,1,Riots,"Mob violence","Rioters (India)",,5,"Military Forces of India (2014-)","Police Forces of India (2014-) Central Reserve Police Force; Police Forces of India (2014-) Special Operations Group",1,15,"Southern Asia",India,"Jammu and Kashmir",Kulgam,Kulgam,Paniwah,33.6786,75.0253,1,"Greater Kashmir",Subnational,"On 6 Apr, rioters clashed with state forces as they attempted to arrest a local preacher during a joint army, CRPF and SOG CASO operation at Paniwah (Poniwoha) village (Kulgam, J&K). A soldier and a CRPF trooper were injured in the clash. [size=no report]",0,1554814195,IND
5123718,586,PAK48626,48626,"06 April 2019",2019,1,Riots,"Mob violence","Rioters (Pakistan)","PML-N: Pakistan Muslim League-Nawaz",5,"Police Forces of Pakistan (2018-)",,1,15,"Southern Asia",Pakistan,Punjab,Lahore,Lahore,Lahore-Gulberg,31.5134,74.3467,1,"Dawn (Pakistan)",National,"On April 6, PML-N workers clashed with the police in an attempt to get through the barriers placed by the police blocking all roads leading to PML-N leader Shehbaz Sharif's house in Gulberg town (Lahore, Punjab). [size=dozens]",0,1554814196,PAK
