data_id,iso,event_id_cnty,event_id_no_cnty,event_date,year,time_precision,event_type,sub_event_type,actor1,assoc_actor_1,inter1,actor2,assoc_actor_2,inter2,interaction,region,country,admin1,admin2,admin3,location,latitude,longitude,geo_precision,source,source_scale,notes,fatalities,timestamp,iso3
5120642,300,GRC642,642,"06 April 2019",2019,1,Riots,"Violent demonstration","Rioters (International)","Refugees/IDPs (International)",5,"Police Forces of Greece (2015-) Units for the Reinstatement of Order","Government of Greece (2015-); Journalists (Greece)",1,15,Europe,Greece,"Central Macedonia",Thessaloniki,Delta,Diavata,40.6885,22.8576,1,"To Vima; Ekathimerini; AFP; AMNA",National-Regional,"On 6 April, 800 migrants clashed for the third day with riot police outside the camp of Diavata in the north of Greece in their attempt to cross the border under the false impression that the travel ban was lifted and that Germany was accepting refugees. The demonstrators threw rocks and police responded with tear gas and stun grenades. Two people were arrested and a photoreporter was injured. The regional coordinator for migration policy arrived to inform the 2000 migrants in the makeshift camp of the situation and negotiate their return to their respective reception centres. Coaches started departing in the afternoon and by the following day the demonstration was over. The Cyber Crime Unit is investigating the source of the fake social media reports. [size=800]",0,1554758418,GRC
5120780,688,SRB855,855,"06 April 2019",2019,1,Riots,"Violent demonstration","Rioters (Serbia)","1 of 5 Million; SZS: Alliance for Serbia; Students (Serbia)",5,,,0,50,Europe,Serbia,Belgrade,Belgrade,,Belgrade,44.6916,20.4261,1,Oslobodenje,Regional,"On April 6, in Serbian capital Belgrade, the group 1 of 5 Million, led by the members of the Alliance for Serbia, and joined by an organized group of students, blocked the city assembly using the fence they broke in a nearby street during an anti-government rally , as part of the demonstrations happening throughout the country since the end of November, motivated by an attack on an opposition leader. [size=no report]",0,1554758418,SRB
5121466,422,LBN1054,1054,"06 April 2019",2019,1,Riots,"Violent demonstration","Rioters (Lebanon)",,5,,,0,50,"Middle East",Lebanon,Nabatiye,Marjayoun,,Houla,33.2092,35.515,2,"National News Agency Lebanon",National,"On April 6 2019, Lebanese citizens from the town of Markaba set fire to tires along a public road linking Markaba to Houla to demonstrate against the continuous interruption of drinking water supply in the town. [size=no report]",0,1554760628,LBN
5120641,300,GRC641,641,"05 April 2019",2019,1,Riots,"Violent demonstration","Rioters (International)","Refugees/IDPs (International)",5,"Police Forces of Greece (2015-) Units for the Reinstatement of Order",,1,15,Europe,Greece,"Central Macedonia",Thessaloniki,Delta,Diavata,40.6885,22.8576,1,"To Vima; Ekathimerini",National,"On 5 April, 1000 migrants clashed with riot police that was blocking their way to the border outside the camp of Diavata in the north of Greece. The number of migrants following a fake social media call to reach the border with North Macedonia and who started gathering the day before grew overnight from 500 to 2000 and around noon they tried to break through the police cordon with women and children and an Algerian migrant in a wheelchair at the front. They were pushed back with tear gas and stun grenades. Some migrants set some dry grass on fire and others chanted ""open the borders"" and unfurled a banner that read ""Help us. We love you"". One person was detained. [size=1000]",0,1554758418,GRC
5119782,466,MLI2777,2777,"05 April 2019",2019,1,Riots,"Violent demonstration","Rioters (Mali)","Muslim Group (Mali)",5,"Police Forces of Mali (2013-)",,1,15,"Western Africa",Mali,Bamako,Bamako,"Commune III",Bamako,12.65,-8,1,"AFP; RFI; Studio Tamani",National-International,"On April 5, following a large protest meeting in Bamako, some participants moved towards strategic sites in the capital including the residence of the prime minister, tires were burned and stones thrown, security forces dispersed the crowd by firing tear gas, at least one security officer was wounded in the confrontation and arrests carried out.[size=no report]",0,1554749634,MLI
5120073,894,ZAM1218,1218,"05 April 2019",2019,1,Riots,"Violent demonstration","Rioters (Zambia)","Students (Zambia)",5,"Police Forces of Zambia (2011-)",,1,15,"Southern Africa",Zambia,Copperbelt,Kitwe,,"Copperbelt University Kitwe",-12.8071,28.2439,1,"Daily Mail (Zambia)",National,"On April 5th, students at Copperbelt University (CBU) broke the windows of about five strategic offices at the institution in protest. Police arrested 6 [size=no report].",0,1554749635,ZMB
5121245,48,BHR1452,1452,"05 April 2019",2019,1,Riots,"Violent demonstration","Rioters (Bahrain)","February 14 Youth Coalition",5,,,0,50,"Middle East",Bahrain,Capital,,,Juffair,26.2127,50.6042,1,"14 February Revolution Youth Coalition",Other,"On 5/4/2019, anti-regime rioters in Juffair who are part of the February 14 Youth Coalition agitation, set ablaze an Israeli flag and pictures of the Bahraini King and the Israeli Prime Minister. [size=no report]",0,1554760628,BHR
5121246,48,BHR1453,1453,"05 April 2019",2019,1,Riots,"Violent demonstration","Rioters (Bahrain)","February 14 Youth Coalition",5,,,0,50,"Middle East",Bahrain,Capital,,,"Al Musalla",26.2122,50.5372,1,"14 February Revolution Youth Coalition",Other,"On 5/4/2019, anti-regime rioters in Musalla who are part of the February 14 Youth Coalition agitation, set ablaze an Israeli flag and pictures of the Bahraini King and the Israeli Prime Minister. [size=no report]",0,1554760628,BHR
5121277,275,PSE5220,5220,"05 April 2019",2019,1,Riots,"Violent demonstration","Military Forces of Israel (2009-)",,8,"Rioters (Palestine)","NABS: National Authority for Breaking the Siege",5,58,"Middle East",Palestine,"Gaza Strip","Khan Yunis",,Khuzaa,31.3069,34.3572,2,"Palestine News and Information Agency; Jerusalem Post; Ma'an News Agency; An Nahar",National-Regional,"On April 5 2019, approximately 10,500 demonstrators attended the March of Return demonstrations along the borders with Israel. Rioters reportedly threw crude explosives and rocks and others lit tires on fire. At least 84 Palestinians were injured by Israeli live fire and rubber coated bullets during the demonstrations. There are reports of women and children being amongst the injured. Israeli forces used a new kind of gas against Palestinians which led to suffocation and a feeling of laziness. Dozens attempted to breach the security fence but were forced back by live fire and tear gas. The demonstrations were called for by the National Authority for Breaking the Siege. Locations coded as Khuzaa, Shokat as Sufi, Bayt Hanun, al Burayj and Gaza based on location of previous demonstrations. [size=10,500]",0,1554760628,PSE
5121278,275,PSE5221,5221,"05 April 2019",2019,1,Riots,"Violent demonstration","Military Forces of Israel (2009-)",,8,"Rioters (Palestine)","NABS: National Authority for Breaking the Siege",5,58,"Middle East",Palestine,"Gaza Strip",Rafah,,"Shokat as Sufi",31.2586,34.2824,2,"Palestine News and Information Agency; Jerusalem Post; Ma'an News Agency; An Nahar",National-Regional,"On April 5 2019, approximately 10,500 demonstrators attended the March of Return demonstrations along the borders with Israel. Rioters reportedly threw crude explosives and rocks and others lit tires on fire. At least 84 Palestinians were injured by Israeli live fire and rubber coated bullets during the demonstrations. There are reports of women and children being amongst the injured. Israeli forces used a new kind of gas against Palestinians which led to suffocation and a feeling of laziness. Dozens attempted to breach the security fence but were forced back by live fire and tear gas. The demonstrations were called for by the National Authority for Breaking the Siege. Locations coded as Khuzaa, Shokat as Sufi, Bayt Hanun, al Burayj and Gaza based on location of previous demonstrations. [size=10,500]",0,1554760628,PSE
