,article_text,persons,organizations,url
0,"Puri: After Niranjan Pujari, Puspendra Singh Deo and Tukuni Sahu, another BJD MLA, Sanjay Das Burma, faced public wrath during an election campaign today. According to reports, some women residents of Bijipur village of Brahmagiri in Puri district staged a demonstration when Burmaâs rally was passing through the area. With placards in hands, the women protesters questioned the Brahmagiri MLA on when they will get back the chit fund money. According to sources, the protesters also clashed with BJD workers which subsequently sparked tension in the area. Some women were injured in the scuffle and were subsequently admitted to hospital. However, it is yet to be ascertained whether the women protesters had any political affiliation or not. No comments could be obtained from the Brahmagiri MLA on the issue yet. Earlier, the sitting MLA and BJDâs candidate for Titlagarh Assembly constituency in Bolangir district, Tukuni Sahu today faced the ire of the locals who alleged that the legislator had failed to ensure development of the region in the past five years. A video purportedly showing Tukuni being questioned by locals during her campaigning has gone viral on various social media platforms.","Puri, Niranjan Pujari, Puspendra Singh Deo, Tukuni Sahu, Sanjay Das Burma, Tukuni","Brahmagiri MLA, MLA",-
1,"Creating a furor over the Ram Temple issue for the alliance partners in Bihar, the workers of BJP and JDU have clashed with each other seeking a mandate for the construction ahead of the launch of poll manifesto.

At a public meeting in Biharâs Hajipur district, both BJP and JDU workers present and the BJP supporters started shouting Ram Mandir, but the JDU leader Sanjay Verma cleared the air stating that Mandir should not be the core issue of campaign and strategy should be different when contesting for Lok Janshakti Partyâs Pashupati Kumar Paras, State Minister and younger brother of Ram Vilas Paswan.

In a damage control situation, Sanjay clearly said that no one has any dispute over the issue of Ram Mandir, while BJP workers had thrown chairs, banged the table, and climbed on the stage as Sanjay Verma entered and said, âOnly the media can see party workers fighting, the local people are not angry over anything.â


BJP-JDU
Nitish Kumar led Janta Dal United is all set to release its manifesto on April 14 and the JDU-BJP donât seem to be on the same page over several issues like scrapping Article 370, Article 35A from the Jammu and Kashmir, Ram Mandir, Citizenship Bill among others.

âWe have objected to NRC earlier as well and will do so in future.â He condemned the âway voters are being influenced by political leaders on the basis of religious and communal statements,â said JD(U) leader KC Tyagi stating a different viewpoint from their ally partner BJP.

Tyagi further criticised the violation of poll code in the election and said, âIn my political career of 40-45 years, I have never seen such an extreme violation of model code of conduct as I see in 2019 Lok Sabha polls.â","Sanjay Verma, Pashupati Kumar Paras, Ram Vilas Paswan, Sanjay, Nitish Kumar, KC Tyagi, Tyagi","BJP, Ram Mandir, JDU, Janta Dal United, NRC",-
2,"Denied post-mortem at the Civil Hospital in Bathinda on Monday, family members of a deceased âassaultedâ doctors who were observing strike.

Reportedly, the medical fraternity, including doctors from the Punjab Civil Medical Services and the IMA, Bathinda, was on a one-day strike demanding arrest of those who had allegedly assaulted doctors in the emergency unit of the Civil Hospital on Friday.
Later, the police intervened and took away the family members from the protest site.

The medical services at the OPDs, emergency and operation theatre among other units of the hospital remained suspended. As a result patients visiting from the city and far-off villages had to bear the brunt of the strike.
 
Meanwhile, patients who had been waiting to get treatment at the Civil Hospital came outside the hospital and blocked the Bathinda-Mansa highway. Later, Deputy Superintendent of Police, Gurjit Singh Romana reached the venue and assured the protesters that the post-mortem of the deceased would be conducted. He also announced that both the accused, who assaulted doctors, had been arrested after which the doctors ended their strike.","Bathinda, Gurjit Singh Romana","Punjab Civil Medical Services, IMA, Civil Hospital",-
3,"THIRUVANANTHAPURAM: With Lok Sabha polls just nine days away in Kerala, activists of an umbrella organisation of various Hindu outfits Saturday staged a dharna here to protest the alleged mass imposition of cases against them in connection with the Sabarimala agitation. 

 'Sabarimala Karma Samithi', which had spearheaded the agitation against the CPI(M)-led LDF government's decision to implement the Supreme Court September 28 verdict permitting women of all age groups into the shrine, alleged that their members had been implicated in various criminal cases ""unlawfully"". 

 Braving the scorching heat, a number of activists, including women, squatted on the road in front of the Secretariat here, and held 'namajapa' protest by chanting Lord Ayyappa hymns near the god's picture. 

 The outfit's protest, days before the April 23 Lok Sabha polls, rekindles the memories of the Sabarimala agitation, which had seen frenzied protests by devotees across the state and the alleged police action against them. 

 The parliamentary election in Kerala will be held in a single phase on April 23. 

 Addressing the gathering, Swami Chidanandapuri of the Kolathur Adavaitha Ashram here urged the Hindu community not to forget the ""barbaric acts"" of the police against the devotees during the Sabarimala protests. 

 ""The Karma Samithi will continue to raise the Sabarimala issue. It will not be a violation of the model code of conduct as the outfit is neither a political party nor a political movement,"" Chidanandapuri, who is also the chief patron of the Samithi, said. 

 The seer said the left government had no moral right to continue in the office in the wake of the action taken against the Ayyappa devotees. 

 Samithi leader K P Sasikala, who was arrested during the protests, said the outfit would extend support to those who had stood by them and the devotees during the stir. 

 Hitting at the state police for allegedly registering ""false cases"" against the Samithi activists and devotees, former DGP T P Senkumar said the police should act in accordance with the Indian Penal Code and CrPC (Code of Criminal Procedure). 

 ""They should implement the rule of law and not the law of Chief Minister Pinarayi Vijayan. Don't try to scare anyone by registering false cases,"" Senkumar, national vice-president of Sabarimala Action Council, said. 

 Sources in the ruling LDF said the party would petition the Election Commission against the dharna staged by the right-wing outfit. 

 Kerala last year had for days witnessed a series of violent protests by various groups of devotees and Hindu outfits demanding that the sanctity of the temple rituals be protected. 

 On September 28 last year, a five-judge Constitution bench had lifted the ban on the entry of women of menstrual age into the shrine.
""","Sabarimala Karma Samithi, Ayyappa, Swami Chidanandapuri, Karma Samithi, Chidanandapuri, Samithi, K P Sasikala, Senkumar, Pinarayi Vijayan","LDF, Supreme Court, Sabarimala Action Council, Election Commission",-
4,"Farmers under the banner of the Kirti Kisan Union today visited the District Administrative Complex (DAC) and handed over a memorandum to Additional Deputy Commissioner (ADC) addressed to the Chief Minister mentioning that the date of sowing of the paddy crop must be fixed early i.e. June 1.

Notably, under the Punjab Preservation of Sub Soil Water Act, 2009, it has been made mandatory not to sow paddy before June 20. The main aim is to check the continuous depletion of underground water that is receding at 50 cm every year.
Agriculture officers continuously direct and appeal to farmers not to sow paddy before June 20. But the farmers said sowing the paddy this much late was only giving them trouble.

The president of the union, Santokh Singh Tagarh, said if paddy would be sown late, then it would also affect the sowing of the next crop, i.e. wheat, as it would get delayed further and various other problems arise with the late date of sowing.

 
The farmers said already there were numerous problems that were associated with the farmers such as in the absence of the pending amount for sugarcane, the farmers are left to take loans from arhtiyas and banks to make both ends meet. They have taken loans amounting to lakhs, and now, they were waiting for their payments by mills so that they could repay their loans.

They said the condition of potatoes was no less sorrowful. Almost three years have passed but the condition of potato growers was not improving. The farmers are continuously suffering and forced to bury their lush green crop, nourished by taking loans in the hope of earning some profit. In the absence of a remunerative price (as potato is being sold not more than Rs 250 per quintal as per them), the farmers say that they were left with no option but to destroy the crop.

Earlier, while protesting against the government, the farmers had said the government could not pay their dues and had failed to give dues for their sugarcane crops even after a lapse of over a year. It should not keep bragging about the crop diversification scheme in speeches and also it (government) must stop showing âfake sympathyâ towards them.

The farmers said the agrarian crisis was getting grimmer in the state. The issue was being deepened with every coming day.",Santokh Singh Tagarh,Punjab Preservation,-
5,"Excelsior Correspondent
UDHAMPUR, July 2:  PHE workers and employees today held a strong protest demonstration for release of pending wages and implementation of SRO 520.
The protest was organized under the banner of Water Works (PHE) Employees Association, led by its senior vice president Som Nath.
The protesting workers raised slogans in support of their demands, which also included implementation of Minimum Wages Act, providing adequate staff at the PHE stations facing shortage of workers, change of designation, DPC, etc.
They also claimed that biometric attendance was hurdle in smooth functioning of the PHE workers, who were under staffed and performing duties in far flung areas.
While addressing the protest demonstration, Som Nath drew attention of the Governorâs administration towards plights of PHE workers and demanded implementation of SRO 520 besides release of wages, pending for the 46 month. âWe urge to the Governor to personally intervene into the matter and get the pending wages released besides implementation of SRO 520,â he said
The Association general secretary Vijay Sharma also addressed the gathering and threatened to stop work if wages are not released. Other who addressed, included Suraj Parkash, Makhan Chand, Iagdish Magotra, Krishan Chand, Kuldeep Kumar, Balveer Singh, Santokh Chand, Rajinder Kumar, Barkat Ali, Bharat Singh, Darbara Singhy, Lakshan Singh and  Parveen Singh.
A number of workers from Chenani, Kud, Patnitop, Ramnagar, Majon, Kulwanta, Majalta, Tikri, Mand, Garhi Jib-Thathi etc took part in the protest demonstration.","Som Nath, Vijay Sharma, Makhan Chand, Iagdish Magotra, Krishan Chand, Kuldeep Kumar, Balveer Singh, Santokh Chand, Rajinder Kumar, Barkat Ali, Bharat Singh, Darbara Singhy, Lakshan Singh, Parveen Singh, Patnitop, Garhi Jib-Thathi","Employees Association, DPC, Association, Suraj Parkash",-
6,"Employees of cash-strapped Jet Airways Saturday protested outside Terminal 3 of the Indira Gandhi International Airport here seeking release of pending salaries.

The beleaguered airline, which is flying just six-seven aircraft on Saturday, has asked its lenders to grant some âinterim fundingâ. Its employees are expecting to be paid their pending salaries once the fresh funding comes through.

Employees of Jet Airways gathered outside Terminal 3 in their uniform for a silent protest on Saturday afternoon. They carried banners that read â Save Jet Airways, Save our futureâ and âHear our cry, Let 9W flyâ. 9W is the code for Jet Airways flights, just like 6E is for IndiGo flights. On Friday, Jet Airways employees took out a silent march in Mumbai. Civil Aviation Secretary Pradeep Singh Kharola had earlier said that the airline would fly just 6-7 aircraft on Saturday and Sunday. At its peak, the airline flew a 119-aircraft fleet. On Monday, the lenders - lead by SBI - would again meet the management of Jet Airways which will present a plan to use the âinterim fundingâ, if granted.

Jet Airways on Thursday grounded its services to and from the East and Northeast regions and suspended its international operations till Monday. Consequently, many passengers were left stranded at the airports.",Pradeep Singh Kharola,"Jet Airways, Save Jet Airways, SBI, Northeast",-
7,"Hyderabad: Activists of civil society organisations on Saturday held a protest at TNGOs Bhavan at Nampally, demanding release of noted writer Vara Vara Rao from jail. The protest was organised by the Democratic Teachers Federation. The police took some teachers, who came to attend the protest, into custody. They also arrested Prof Haragopal.
",Vara Vara Rao,,-
8,"Guntur: YSRCP Mangalagiri Assembly candidate Alla Rama Krishna Reddy along with the party activists staged a dharna in front of Tadepalli police station on Saturday demanding to withdraw cases against YSRCP activists booked on them following instructions of TDP leaders. He questioned as to why the police officials are maintaining double standards and demanded to withdraw cases against the party activists. Tension prevailed at the police station when the YSRCP activists raised slogans against the police. Rama Krishna Reddy said since the release of notification for conducting elections, the police officials are threatening the YSRCP activists and registering false cases against them. He alleged that the police officials are not taking action against TDP activists and leaders though they are violating the norms of ECI and taking revenge on YSRCP activists.
","Guntur, Alla Rama Krishna Reddy, Rama Krishna Reddy","YSRCP Mangalagiri Assembly, YSRCP",-
9,"Berhampur: The Bharatiya Janata Party (BJP) on Friday accused that the workers of the ruling Biju Janata Dal (BJD) of threatening the supporters of the saffron party in Hinjili, the Assembly constituency of Odisha Chief Minister and BJD president Naveen Patnaik.

State BJP spokesperson and partyâs Hinjili candidate, Pitambar Acharya sat on dharna at Sergada Police Station in the constituency alleging that the BJP workers are being threatened in violation of the Election Commissionâs guidelines of a free, fair and peaceful poll.

âBJDâs Seragada block chairman Santosh Patnaik alias Pintu tore off BJP posters. Besides, one Kalia along with several others with revolvers in hands is roaming around the constituency threatening BJP workers,â alleged Acharya.

 
He further said that if police succumb to the pressure from the ruling-BJD and fail to take immediate action against the accused, the BJP will gherao the police station.

Earlier, Dhabalpur BJP president had lodged a police complaint against Naveen Patnaik alleging that at the behest of the Odisha CM, the BJD workers are tearing off posters of BJP and also threatening leaders of the region.","Biju Janata Dal, Naveen Patnaik, Hinjili, Pitambar Acharya, Seragada, Santosh Patnaik, Pintu, Kalia","Bharatiya Janata Party, BJP, Assembly, Sergada Police Station, Dhabalpur BJP",-
