data_id,event_date,year,event_type,sub_event_type,actor1,assoc_actor_1,actor2,assoc_actor_2,region,country,admin1,admin2,admin3,location,latitude,longitude,notes
1,,2019,Protest/Riot,Mob violence,Protesters,, women protesters   affiliation,,Southern Asia,India,Karnataka,Kodagu,Manchalli,Brahmagiri,11.9322003,75.9940526,"However, it is yet to be ascertained whether the women protesters had any political affiliation or not.According to sources, the protesters also clashed with BJD workers which subsequently sparked tension in the area.According to reports, some women residents of Bijipur village of Brahmagiri in Puri district staged a demonstration when Burmaâs rally was passing through the area."
2,,2019,Protest/Riot,Mob violence,Protesters,,  mandate,,Southern Asia,India,Bihar,Bihar,Bihar,Bihar,25.0960742,85.3131194,"Creating a furor over the Ram Temple issue for the alliance partners in Bihar, the workers of BJP and JDU have clashed with each other seeking a mandate for the construction ahead of the launch of poll manifesto.At a public meeting in Biharâs Hajipur district, both BJP and JDU workers present and the BJP supporters started shouting Ram Mandir, but the JDU leader Sanjay Verma cleared the air stating that Mandir should not be the core issue of campaign and strategy should be different when contesting for Lok Janshakti Partyâs Pashupati Kumar Paras, State Minister and younger brother of Ram Vilas Paswan.In a damage control situation, Sanjay clearly said that no one has any dispute over the issue of Ram Mandir, while BJP workers had thrown chairs, banged the table, and climbed on t"
3,,2019,Protest/Riot,Mob violence,Protesters,, day strike,,Southern Asia,India,Punjab,Bathinda,Bathinda,Bathinda,30.210994,74.9454745,"Reportedly, the medical fraternity, including doctors from the Punjab Civil Medical Services and the IMA, Bathinda, was on a one-day strike demanding arrest of those who had allegedly assaulted doctors in the emergency unit of the Civil Hospital on Friday.Denied post-mortem at the Civil Hospital in Bathinda on Monday, family members of a deceased âassaultedâ doctors who were observing strike.Meanwhile, patients who had been waiting to get treatment at the Civil Hospital c"
4,,2019,Protest/Riot,Violent demonstration,Protesters,,,,Southern Asia,India,Kerala,Pathanamthitta,Sabarimala,Sabarimala,9.4372487,77.0805846,"THIRUVANANTHAPURAM: With Lok Sabha polls just nine days away in Kerala, activists of an umbrella organisation of various Hindu outfits Saturday staged a dharna here to protest the alleged mass imposition of cases against them in connection with the Sabarimala agitation.Braving the scorching heat, a number of activists, including women, squatted on the road in front of the Secretariat here, and held 'namajapa' protest by chanting Lord Ayyappa hymns near the god's picture.'Sabarimala Karma Samithi', which had spearheaded the agitation against the CPI(M)-led LDF government's decision to implement the Supreme Court September 28 verdict permitting women of all age groups into the shrine, alleged that their members had been implicated in various criminal cases ""unlawfully""."
5,,2019,Protest/Riot,Mob violence,Protesters,,  farmers,,Southern Asia,India,Punjab,Punjab,Punjab,Punjab,31.1471305,75.3412179,"Agriculture officers continuously direct and appeal to farmers not to sow paddy before June 20.Farmers under the banner of the Kirti Kisan Union today visited the District Administrative Complex (DAC) and handed over a memorandum to Additional Deputy Commissioner (ADC) addressed to the Chief Minister mentioning that the date of sowing of the paddy crop must be fixed early i.e.Notably, under the Punjab Preservation of Sub Soil Water Act, 2009, it has been made mandatory not to sow paddy before June 20."
6,,2019,Protest/Riot,Excessive force against protesters,Protesters,,  slogans,,Southern Asia,India,,,,,,,"The protesting workers raised slogans in support of their demands, which also included implementation of Minimum Wages Act, providing adequate staff at the PHE stations facing shortage of workers, change of designation, DPC, etc.Excelsior CorrespondentUDHAMPUR, July 2:  PHE workers and employees today held a strong protest demonstration for release of pending wages and implementation of SRO 520.The protest was organized under the banner of Water Works (PHE) Employees Association, led by its senior vice president Som Nath."
7,,2019,Protest/Riot,Excessive force against protesters,Protesters,,  Terminal,,Southern Asia,India,Maharashtra,Mumbai,Mumbai,Mumbai,19.0759837,72.8776559,"Employees of cash-strapped Jet Airways Saturday protested outside Terminal 3 of the Indira Gandhi International Airport here seeking release of pending salaries.On Friday, Jet Airways employees took out a silent march in Mumbai.The beleaguered airline, which is flying just six-seven aircraft on Saturday, has asked its lenders to grant some âinterim fundingâ."
8,,2019,Protest/Riot,Protest with intervention,Protesters,,  teachers,,Southern Asia,India,Telangana,Hyderabad,Hyderabad,Nampally,17.3861371,78.4638649,"The police took some teachers, who came to attend the protest, into custody.Hyderabad: Activists of civil society organisations on Saturday held a protest at TNGOs Bhavan at Nampally, demanding release of noted writer Vara Vara Rao from jail.The protest was organised by the Democratic Teachers Federation."
9,,2019,Protest/Riot,Sexual violence,Protesters,, police officials   action,,Southern Asia,India,Krishna,Krishna,Krishna,Krishna,,,"He alleged that the police officials are not taking action against TDP activists and leaders though they areHe questioned as to why the police officials are maintaining double standards and demanded to withdraw cases against the party activists.Rama Krishna Reddy said since the release of notification for conducting elections, the police officials are threatening the YSRCP activists and registering false cases against them."
10,,2019,Protest/Riot,Mob violence,Protesters,,  dharna,,Southern Asia,India,Odisha,Ganjam,Hinjilicut,Hinjili,19.4828148,84.7501635,"State BJP spokesperson and partyâs Hinjili candidate, Pitambar Acharya sat on dharna at Sergada Police Station in the constituency alleging that the BJP workers are being threatened in violation of the Election Commissionâs guidelines of a free, fair and peaceful poll.Berhampur: The Bharatiya Janata Party (BJP) on Friday accused that the workers of the ruling Biju Janata Dal (BJD) of threatening the supporters of the saffron party in Hinjili, the Assembly constituency of Odisha Chief Minister and BJD president Naveen Patnaik.Besides, one Kalia along with several others with revolvers in hands is roaming around the constituency threatening BJP workers,â alleged Acharya."
